transaction_id,timestamp,customer_id,store_location,product,category,quantity,unit_price,total_price
T356787,2024-01-04 18:00:00,2309,Sharjah City Center,Iced Coffee,Beverage,1,15.0,15.0
T719176,2023-08-29 08:00:00,1457,Al Ain Town Center,Hot Coffee,Beverage,3,12.0,36.0
T329258,2023-09-02 23:00:00,1864,Marina Walk,Iced Coffee,Beverage,2,15.0,30.0
T688508,2023-07-19 02:00:00,1476,Dubai Marina Mall,Muffin,Food,1,10.0,10.0
T571029,2023-11-28 11:00:00,1407,Ras Al Khaimah Mall,Cold Brew,Beverage,1,16.0,16.0
T832052,2023-10-17 23:00:00,2206,Dubai Silicon Oasis,Iced Coffee,Beverage,1,15.0,15.0
T325772,2023-10-15 03:00:00,1865,Deira City Center,Bagel - Plain,Food,1,10.0,10.0
T498382,2023-09-02 07:00:00,2960,Deira City Center,Hot Coffee,Beverage,2,12.0,24.0
T946335,2023-12-28 13:00:00,1198,Dubai Hills,Bagel - Cream Cheese,Food,1,12.0,12.0
T496922,2023-09-24 05:00:00,1088,Al Wahda Mall,Croissant,Food,2,11.0,22.0
T705397,2024-03-03 21:00:00,1161,Ras Al Khaimah Mall,Bagel - Plain,Food,1,10.0,10.0
T910620,2023-12-03 13:00:00,1393,Abu Dhabi Corniche,Iced Coffee,Beverage,3,15.0,45.0
T498591,2023-09-07 22:00:00,1592,Abu Dhabi Corniche,Donut - Chocolate,Food,2,9.0,18.0
T488162,2023-10-20 00:00:00,1569,Al Wahda Mall,Bagel - Cream Cheese,Food,1,12.0,12.0
T738720,2023-08-18 17:00:00,1727,Jumeirah Beach,Bagel - Plain,Food,1,10.0,10.0
T271339,2023-12-15 02:00:00,2300,Mall of the Emirates,Croissant,Food,1,11.0,11.0
T817870,2023-11-27 22:00:00,1946,Mirdif City Center,Bagel - Plain,Food,1,10.0,10.0
T944151,2023-07-22 21:00:00,1664,Marina Walk,Donut - Chocolate,Food,1,9.0,9.0
T321231,2023-08-15 04:00:00,1646,Mirdif City Center,Bagel - Plain,Food,1,10.0,10.0
T787277,2023-11-23 03:00:00,2870,Fujairah Mall,Bagel - Cream Cheese,Food,1,12.0,12.0
T377746,2023-10-06 12:00:00,2022,Mirdif City Center,Latte,Beverage,1,18.0,18.0
T883300,2023-12-27 08:00:00,1285,Ajman Downtown,Croissant,Food,1,11.0,11.0
T479580,2024-03-29 15:00:00,2197,Yas Mall,Muffin,Food,1,10.0,10.0
T195325,2024-06-01 21:00:00,1449,Al Ain Town Center,Croissant,Food,1,11.0,11.0
T757924,2023-10-13 08:00:00,2547,Marina Walk,Hot Coffee,Beverage,1,12.0,12.0
T503457,2023-08-13 08:00:00,1327,Yas Mall,Muffin,Food,2,10.0,20.0
T363626,2024-06-26 05:00:00,1781,Al Barsha,Latte,Beverage,1,18.0,18.0
T814825,2023-09-17 04:00:00,2988,Ras Al Khaimah Mall,Iced Coffee,Beverage,1,15.0,15.0
T216970,2024-02-18 05:00:00,2812,Ras Al Khaimah Mall,Bagel - Plain,Food,1,10.0,10.0
T103402,2024-05-05 17:00:00,1601,Yas Mall,Donut - Glazed,Food,1,8.0,8.0
T632342,2023-10-30 23:00:00,2953,Dubai Silicon Oasis,Croissant,Food,1,11.0,11.0
T738551,2024-06-11 13:00:00,2869,Sharjah City Center,Bagel - Plain,Food,1,10.0,10.0
T665579,2023-10-19 06:00:00,1407,Al Ain Town Center,Bagel - Cream Cheese,Food,1,12.0,12.0
T612340,2024-02-07 06:00:00,2952,Dubai Marina Mall,Iced Coffee,Beverage,2,15.0,30.0
T351083,2024-01-26 22:00:00,1039,Sharjah City Center,Bagel - Cream Cheese,Food,3,12.0,36.0
T189814,2023-08-23 18:00:00,1118,Ajman Downtown,Muffin,Food,2,10.0,20.0
T903035,2024-06-28 15:00:00,2498,The Dubai Mall Zabeel,Hot Coffee,Beverage,1,12.0,12.0
T377932,2023-10-21 17:00:00,1257,Al Ain Town Center,Latte,Beverage,1,18.0,18.0
